ID,Hemolysis
SOLVIA_700,22.46714153011233
SOLVIA_3,0.0
SOLVIA_1400,41.47688538100692
SOLVIA_800,35.23029856408026
SOLVIA_5,0.0
SOLVIA_1900,45.1586304305082
SOLVIA_900,38.29212815507391
SOLVIA_1800,52.67434729152909
SOLVIA_50,0.0
SOLVIA_300,12.925600435859646
SOLVIA_400,5.365823071875377
SOLVIA_100,0.0
SOLVIA_1,2.444622715660341
SOLVIA_10,0.0
SOLVIA_1600,22.750821674869673
SOLVIA_200,0.0
SOLVIA_1200,19.87168879665576
SOLVIA_1500,40.642473325952736
SOLVIA_1300,23.41975924478789
SOLVIA_600,0.8769629866470847
SOLVIA_2,14.70648768921554
SOLVIA_1100,25.242236995134647
SOLVIA_20,1.1752820468792384
SOLVIA_500,0.0
SOLVIA_2000,44.556172754748175
SOLVIA_1700,43.60922589709866
SOLVIA_1000,13.490064225776973
SOLVIA_4,3.8569801834567197
