Peptide_ID,Replicate_ID,Rg_xy_nm,N_residues,DeltaG_ads_kJ_per_mol,DeltaG_ads_per_area_kJ_per_mol_nm2,DeltaG_ads_per_res_kJ_per_mol,z_ads_nm,DeltaG_barrier_kJ_per_mol,z_barrier_nm,Kp_ads_nm,Kp_eff_nm,HC50_pred_low_uM,HC50_pred_high_uM,HC50_pred_mean_uM,HC50_pred_low_uM_raw,HC50_pred_high_uM_raw,HC50_pred_mean_uM_raw,HC50_pred_clipped_at_uM,HC50_pred_exceeds_cutoff,HC50_rank_uM,HC50_rank_score,HC50_rank_enh_uM,HC50_rank_enh_score,HC50_rank_knn_uM,HC50_rank_knn_score,HC50_rank_combo_uM,HC50_rank_combo_score,HC50_rank_v3_uM,HC50_rank_v3_score,theta_at_1uM,Footprint_area_nm2,Footprint_cg_nm2,Rg_xy_cg_nm,Sequence_length,Sequence_length_cg,Sequence_charge,Sequence_charge_density,Sequence_isoelectric_point,Sequence_hydrophobicity,Sequence_hydrophobic_moment,Sequence_logP,Sequence_logP_per_residue,Sequence_helix_fraction,Sequence_helix_propensity,Sequence_positive_fraction,Sequence_negative_fraction,Sequence_aromatic_fraction,QC_pass,ESS_mean,ESS_min,Overlap_min_adjacent,JS_mean_adjacent,Ergodicity_pass_fraction,Drift_max_nm_per_ns,HC50_exp_uM,HC50_exp_CI_low_uM,HC50_exp_CI_high_uM,HC50_rank_resid_log10,HC50_rank_enh_resid_log10,HC50_rank_knn_resid_log10,HC50_rank_combo_resid_log10,HC50_rank_v3_resid_log10,PMF_PC1
solvia_524_run_1,pmf_midplane,,,-29.45891195671054,-20.452221952831906,-1.2274546648629392,0.525139868770738,1.024298837049205,0.26509266663474923,4602.586306867095,4602.586306867095,9.38563870698087,12.931324440729199,11.158481573855035,9.38563870698087,12.931324440729199,11.158481573855035,150.0,False,1.404282359053935,-1.11344675661291,,,,,,,,,0.003992353549053303,2.8816835,2.8816835,0.8772349747702833,24,24,,,,,,,,,,,,,True,473.5893209570125,156.62795914001126,0.24359740674722022,0.22836471024988667,1.0,,,,,,,,,,-6137.632455117483
solvia_1564_run_1,pmf_midplane,,,-18.019156812671195,-12.743483477135662,-0.8580550863176759,1.8502458904589445,59.778337913046634,-0.004494046937166679,225.86538842276244,225.86538842276244,150.0,150.0,150.0,191.2564492311496,263.50888560736166,227.38266741925563,150.0,True,23.91652148620279,0.7991861538225185,,,,,,,,,0.00019232991379898728,2.3940449999999998,2.3940449999999998,0.6814094110782732,21,21,,,,,,,,,,,,,True,333.0406645210471,62.985951515685024,0.2522662311147407,0.20357911707879828,1.0,,,,,,,,,,52.016768026730375
solvia_8_run_1,pmf_midplane,,,-18.264083310989072,-8.521308365251247,-0.702464742730349,0.055503692026408424,8.81673149090108,-0.004613509332746499,29.14391134382871,29.14391134382871,150.0,150.0,150.0,1482.2379770620344,2042.1945461743585,1762.2162616181963,150.0,True,1.404282359053935,-0.6734296665153158,,,,,,,,,3.761753056752546e-05,3.9536155,3.9536155,1.0629195331949963,26,26,,,,,,,,,,,,,True,649.2181927156744,180.58616211891788,0.2826459470810577,0.21690690382540984,1.0,,,,,,,,,,330.210767233355
solvia_1_run_2,pmf_midplane,,,-10.820923038395197,-7.388959095054238,-0.6763076898996998,1.6981466464347232,10.407167058282251,-0.004671838148933502,15.139455608709719,15.139455608709719,150.0,150.0,150.0,2853.353073613825,3931.286456979048,3392.3197652964363,150.0,True,19.58094501414918,0.1755715835147929,,,,,,,,,1.3351871757174446e-05,1.9450375000000002,1.9450375000000002,0.6305594845322771,16,16,,,,,,,,,,,,,True,610.030329850089,62.81743568803433,0.23654489574830748,0.14559873200315504,1.0,,,,,,,,,,350.03995914074505
solvia_974_run_1,pmf_midplane,,,-24.436468676561347,-12.638812710207343,-1.357581593142297,0.19526432654187673,11.296052594108012,-0.004865164699579844,190.36802108695002,190.36802108695002,150.0,150.0,150.0,226.9194791609526,312.6446157328681,269.7820474469103,150.0,True,23.91652148620279,0.48407328788874787,,,,,,,,,0.0002216547337583135,2.5057635,2.5057635,0.8665307889952001,18,18,,,,,,,,,,,,,True,424.6062595955143,118.0771868014115,0.3175963733937767,0.20601643423263033,1.0,,,,,,,,,,102.1813304685532
solvia_1045_run_2,pmf_midplane,,,-17.88639408906038,-9.725012178502976,-0.8943197044530191,0.3865286877760715,14.064272984511184,-0.004487649954642833,10.6407236123001,10.6407236123001,150.0,150.0,150.0,4059.706253813148,5593.373060809226,4826.5396573111875,150.0,True,23.91652148620279,1.9729075565947187,,,,,,,,,1.1785680179637309e-05,2.2724355000000003,2.2724355000000003,0.7514372073188883,20,20,,,,,,,,,,,,,True,345.9126717888841,61.398433729757514,0.22045620569643332,0.2000871576918696,1.0,,,,,,,,,,356.37840145244814
solvia_850_run_1,pmf_midplane,,,-23.777669629630974,-10.884400530103239,-1.2514562962963671,0.15529446833172653,10.763459155803808,-0.004836154965953049,77.54371157132557,77.54371157132557,150.0,150.0,150.0,557.0820807850776,767.5353113038847,662.3086960444812,150.0,True,23.91652148620279,1.4148155181357833,,,,,,,,,0.00010201457056573294,2.5845605000000003,2.5845605000000003,0.8353270818533816,19,19,,,,,,,,,,,,,True,319.29792766934656,118.97078903330495,0.29655939067682247,0.20827172541139083,1.0,,,,,,,,,,261.7435093836865
solvia_1743_run_1,pmf_midplane,,,-17.207581075979558,-18.045384370979278,-0.6883032430391823,1.2870743246685907,10.461537202939866,-0.0047272702859628285,149.98155550230786,149.98155550230786,150.0,150.0,150.0,288.0234976179269,396.8323744958105,342.4279360568687,150.0,True,23.91652148620279,1.1523362758741182,,,,,,,,,8.612760852068649e-05,3.020629,3.020629,0.8361276267798254,25,25,,,,,,,,,,,,,True,316.60644781890335,57.59635131116447,0.2627350113879072,0.21439400986898863,1.0,,,,,,,,,,159.30415543849693
solvia_617_run_2,pmf_midplane,,,-21.320404854626158,-11.742091068820704,-1.18446693636812,0.025169070326464094,10.486599634266227,-0.004852675738397788,74.39670361371141,74.39670361371141,150.0,150.0,150.0,580.6468579340451,800.0023375980177,690.3245977660314,150.0,True,23.91652148620279,1.1791135288770633,,,,,,,,,8.134943550834238e-05,2.1961779999999997,2.1961779999999997,0.685016056685925,18,18,,,,,,,,,,,,,True,368.13670749089675,51.50376083968281,0.3037459375677073,0.21060104957407957,1.0,,,,,,,,,,266.1989354472863
solvia_490_run_2,pmf_midplane,,,-12.462845243072875,-6.614154172200503,-0.6923802912818264,0.07564616538366206,8.039422352876336,-0.004541752688094189,9.513576884825927,9.513576884825927,150.0,150.0,150.0,4540.6909217134435,6256.063047694077,5398.37698470376,150.0,True,23.91652148620279,0.5475145312459269,,,,,,,,,1.0795370903470075e-05,2.8586690000000003,2.8586690000000003,0.7671881327671026,18,18,,,,,,,,,,,,,True,556.6792869989528,25.64651509419688,0.28175464297583963,0.21603903509783326,1.0,,,,,,,,,,357.9923129968661
solvia_482_run_1,pmf_midplane,,,-28.376970544662743,-47.478457614252875,-1.0914219440254902,0.5069150925543493,9.665482076837076,-0.004469688745222536,615.9408649516724,615.9408649516724,70.13370057422856,96.62865412449268,83.38117734936063,70.13370057422856,96.62865412449268,83.38117734936063,150.0,False,23.91652148620279,0.8933432124414882,,,,,,,,,0.00022169673313595864,2.5956805,2.5956805,0.7059808009791662,26,26,,,,,,,,,,,,,True,364.490301614492,79.25337325078337,0.23601847963040726,0.22402847128286796,1.0,,,,,,,,,,-499.7544002113208
solvia_527_run_1,pmf_midplane,,,-22.66869356323003,-11.88278450035746,-0.9067477425292012,0.025500965478767124,7.780001471288969,-0.004565420225068478,176.41203971083806,176.41203971083806,150.0,150.0,150.0,244.87111120510454,337.377975438144,291.1245433216243,150.0,True,23.91652148620279,0.8094999564694079,,,,,,,,,0.00020266900698465807,4.004954,4.004954,0.9783262042365869,25,25,,,,,,,,,,,,,True,328.7425807615165,22.66108877531531,0.26853185780236966,0.2110785582549906,1.0,,,,,,,,,,121.92330641100158
